Time(s),Force_X,Force_Y(N),Force_Z
0.9912149906158447,0.00,-0.00,-0.01
1.1009361743927002,-0.00,0.00,0.01
1.2121706008911133,0.00,-0.00,-0.00
1.436065435409546,0.00,-0.00,0.00
1.994387149810791,0.00,-0.00,-0.00
2.436391592025757,0.00,-0.00,0.00
2.970118284225464,0.00,-0.00,0.00
3.498307704925537,-0.00,-0.00,0.00
3.946786880493164,-0.00,0.00,0.00
4.41213321685791,0.00,-0.00,-0.00
4.987977504730225,-0.00,-0.00,0.00
5.468122482299805,-0.00,-0.00,0.00
5.947228908538818,-0.00,-0.00,-0.00
6.426854133605957,-0.00,-0.00,0.00
7.096868276596069,0.00,0.00,0.00
7.430968761444092,-0.00,-0.00,-0.00
7.989035606384277,-0.00,-0.00,-0.00
8.437737703323364,0.00,-0.00,0.00
8.981175184249878,-0.00,-0.00,0.01
9.42989182472229,-0.00,-0.00,0.00
9.940325260162354,0.00,-0.00,0.00
10.470695734024048,0.00,-0.00,0.00
11.828445672988892,-0.01,-0.00,0.01
11.939977407455444,0.00,0.00,-0.01
12.05145525932312,0.00,-0.00,0.03
12.50046706199646,-0.00,0.00,0.00
12.946870803833008,0.00,-0.00,0.00
13.505675315856934,0.01,-0.00,-0.01
13.952566862106323,0.01,0.00,-0.01
14.474885940551758,-0.00,-0.00,0.01
14.912638664245605,0.01,0.00,-0.01
15.48014497756958,-0.00,0.00,0.01
15.907925367355347,-0.01,-0.01,-0.02
16.45127248764038,0.01,0.02,0.02
16.93026304244995,-0.00,-0.03,0.03
17.43403911590576,-0.02,-0.02,0.00
17.954222917556763,0.01,0.01,-0.00
18.4327871799469,0.00,-0.03,0.01
19.25123691558838,-0.01,0.01,-0.03
19.449679374694824,0.01,-0.00,-0.03
19.967586278915405,-0.00,-0.02,0.01
20.51051092147827,-0.01,-0.01,-0.01
20.939889907836914,-0.00,0.03,0.02
21.649221420288086,-0.01,0.00,-0.03
21.955095052719116,0.01,0.01,-0.01
22.63758683204651,0.00,0.03,-0.01
22.925093173980713,-0.01,-0.03,0.02
23.54890203475952,-0.01,0.01,-0.01
23.9323947429657,-0.01,0.00,-0.01
24.421543836593628,-0.00,-0.01,-0.02
25.7005832195282,-0.01,0.00,0.05
25.786774396896362,0.01,0.01,0.04
