Time(s),Force_X,Force_Y(N),Force_Z
0.3859567642211914,0.00,0.00,0.00
2.4300456047058105,0.00,-0.00,-0.00
2.539926767349243,-0.00,-0.00,0.00
2.6519412994384766,-0.00,-0.00,0.01
2.7640202045440674,0.00,0.00,0.00
2.877279281616211,-0.00,0.00,-0.01
2.9889028072357178,0.00,-0.00,-0.01
3.434952735900879,0.00,-0.00,0.01
3.9961540699005127,0.00,0.00,-0.01
4.444437742233276,0.00,0.00,0.00
5.004495620727539,0.00,0.00,0.00
5.45121955871582,-0.00,-0.00,0.01
6.009531021118164,0.01,-0.00,-0.01
6.458451986312866,0.00,0.00,-0.01
6.906705617904663,0.00,-0.00,-0.00
7.4658637046813965,-0.01,0.00,-0.00
7.911530256271362,-0.01,-0.00,0.01
8.473339319229126,0.00,0.00,-0.00
8.918753385543823,0.01,-0.00,-0.00
9.48230504989624,-0.01,0.00,-0.00
9.928487539291382,-0.01,-0.00,0.00
10.486930131912231,0.01,-0.00,-0.01
10.935196161270142,0.01,0.00,0.00
11.493060827255249,-0.01,0.00,-0.01
11.941975116729736,-0.01,0.00,0.00
12.502079248428345,0.00,0.00,-0.00
12.949430465698242,0.01,0.00,-0.00
13.507300853729248,-0.00,-0.00,0.00
13.956212997436523,-0.00,0.00,-0.00
14.402534484863281,-0.00,-0.00,0.00
14.96345853805542,0.01,0.00,-0.01
15.409510374069214,0.01,-0.00,0.01
15.971293687820435,-0.01,-0.00,-0.00
16.416515350341797,-0.00,-0.00,0.01
16.978386402130127,0.01,0.00,-0.00
17.424171924591064,0.01,0.00,0.00
17.984696626663208,0.00,0.00,-0.01
18.43281841278076,0.00,-0.00,0.01
18.99087429046631,0.02,-0.01,0.01
19.442119121551514,0.02,-0.00,-0.00
19.998119831085205,0.01,-0.00,-0.01
20.44710683822632,0.00,0.00,-0.00
21.00509524345398,0.01,-0.00,0.00
21.45429515838623,0.01,0.00,-0.00
22.01236605644226,0.00,-0.00,-0.00
22.461297750473022,0.00,0.00,-0.02
22.907597064971924,0.01,-0.00,0.00
23.467623949050903,0.01,0.00,-0.00
23.914525270462036,0.00,-0.00,0.01
24.47610569000244,0.00,-0.00,-0.01
24.921891927719116,0.01,0.00,-0.01
25.48270297050476,0.00,0.00,-0.01
25.92916440963745,0.00,-0.00,0.01
26.489717721939087,0.01,-0.00,-0.01
26.937779426574707,0.01,-0.00,-0.01
27.498947381973267,0.00,-0.00,0.00
27.94502019882202,0.00,0.00,0.00
28.50395369529724,0.02,-0.00,-0.01
28.95200204849243,0.02,0.00,-0.00
29.511200666427612,0.01,-0.00,0.02
29.959304094314575,0.00,0.00,-0.00
30.405335903167725,0.00,-0.00,0.00
30.966254711151123,0.02,-0.00,-0.02
31.4143705368042,0.02,-0.00,0.01
31.974050521850586,0.00,0.00,-0.00
32.419607162475586,0.01,0.00,0.01
32.980801582336426,0.02,0.00,0.00
33.42941355705261,0.02,-0.00,0.00
33.98672890663147,0.00,-0.00,-0.01
34.43586349487305,0.00,-0.00,0.00
34.993935346603394,0.02,-0.00,-0.00
35.44286847114563,0.02,0.00,-0.01
36.00090575218201,0.01,-0.00,-0.01
36.45013165473938,0.00,0.00,-0.00
37.00810432434082,0.01,0.00,0.01
37.457030296325684,-0.00,0.00,0.00
37.90309262275696,0.00,-0.01,-0.00
38.46426725387573,-0.01,0.00,-0.03
38.91032266616821,0.00,-0.00,0.00
39.47165393829346,-0.01,-0.00,-0.01
39.91757416725159,-0.00,-0.00,0.01
40.478930711746216,-0.01,0.00,-0.02
40.92497515678406,0.00,0.00,0.00
41.48577570915222,0.00,0.00,0.01
41.933833360672,-0.00,-0.00,0.01
42.492758989334106,-0.00,-0.00,-0.01
42.93882203102112,0.01,0.00,-0.01
43.49890160560608,-0.00,-0.00,-0.00
43.94782519340515,-0.00,0.00,-0.01
44.50589299201965,0.01,-0.00,-0.00
44.955060720443726,0.01,0.00,-0.00
45.51519727706909,-0.00,-0.00,0.02
45.962108850479126,0.00,0.00,-0.00
46.408122301101685,-0.00,-0.00,0.00
48.23388481140137,0.00,-0.00,0.01
48.71865725517273,0.01,0.00,0.01
48.82327318191528,0.01,-0.00,-0.01
48.934760093688965,0.00,-0.00,-0.00
49.04677939414978,0.02,0.00,-0.02
49.49570393562317,0.02,-0.00,0.01
49.94280695915222,0.02,0.00,-0.01
50.502951860427856,0.00,0.00,0.00
50.94872713088989,0.01,-0.00,0.00
51.511850357055664,0.02,0.00,0.00
51.956024408340454,0.02,-0.00,0.00
52.40494155883789,0.02,0.00,-0.01
52.96541929244995,0.01,-0.00,-0.00
53.41104245185852,0.01,0.00,0.00
53.97023296356201,0.02,-0.00,0.01
54.41911005973816,0.02,0.00,-0.00
54.97758746147156,0.01,-0.00,0.00
55.42673945426941,0.01,0.00,-0.01
55.98873209953308,0.02,-0.00,0.00
56.43256616592407,0.02,-0.00,-0.00
56.99377703666687,0.01,-0.00,0.00
57.42625546455383,0.01,-0.00,-0.00
57.98481345176697,0.01,0.00,-0.02
58.43078017234802,0.01,-0.00,0.01
58.99212074279785,0.02,-0.00,-0.07
59.43773078918457,0.03,-0.01,-0.29
59.99891138076782,0.02,-0.03,-0.74
60.445008277893066,0.03,-0.03,-1.27
61.00598502159119,0.04,-0.04,-2.12
61.454147815704346,0.05,-0.04,-2.60
